leather,					Кожа (PW)
yellowsatinfinishplastic,		Желтый сатинированный пластик (PW)
greensatinfinishplastic,		Зеленый сатинированный пластик (PW)
redsatinfinishplastic,			Красный сатинированный пластик (PW)
bluesatinfinishplastic,			Синий сатинированный пластик (PW)
blacksatinfinishplastic,		Черный сатинированный пластик (PW)
darkgreysatinfinishplastic,		Темно-серый сатинированный пластик (PW)
lightgreysatinfinishplastic,	Светло-серый сатинированный пластик (PW)
creamsatinfinishplastic,		Кремовый сатинированный пластик (PW)
whitesatinfinishplastic,		Белый сатинированный пластик (PW)
beigelowglossplastic,		Бежевый пластик слабого глянца (PW)
yellowlowglossplastic,		Желтый пластик слабого глянца (PW)
greenlowglossplastic,		Зеленый пластик слабого глянца (PW)
redlowglossplastic,			Красный пластик слабого глянца (PW)
bluelowglossplastic,		Синий пластик слабого глянца (PW)
blacklowglossplastic,		Черный пластик слабого глянца (PW)
darkgreylowglossplastic,	Темно-серый пластик слабого глянца (PW)
lightgreylowglossplastic,	Светло-серый пластик слабого глянца (PW)
creamlowglossplastic,		Кремовый пластик слабого глянца (PW)
whitelowglossplastic,		Белый пластик слабого глянца (PW)
beigemediumglossplastic,	Бежевый пластик среднего глянца (PW)
yellowmediumglossplastic,	Желтый пластик среднего глянца (PW)
greenmediumglossplastic,	Зеленый пластик среднего глянца (PW)
redmediumglossplastic,		Красный пластик среднего глянца (PW)
bluemediumglossplastic,		Синий пластик среднего глянца (PW)
blackmediumglossplastic,	Черный пластик среднего глянца (PW)
darkgreymediumglossplastic,	Темно-серый пластик среднего глянца (PW)
lightgreymediumglossplastic,	Светло-серый пластик среднего глянца (PW)
creammediumglossplastic,	Кремовый пластик среднего глянца (PW)
whitehighglossplastic,		Белый сильно-глянцевый пластик  (PW)
beigehighglossplastic,		Бежевый сильно-глянцевый пластик  (PW)
yellowhighglossplastic,		Желтый сильно-глянцевый пластик  (PW)
greenhighglossplastic,		Зеленый сильно-глянцевый пластик  (PW)
redhighglossplastic,		Красный сильно-глянцевый пластик  (PW)
bluehighglossplastic,		Синий сильно-глянцевый пластик  (PW)
blackhighglossplastic,		Черный сильно-глянцевый пластик  (PW)
darkgreyhighglossplastic,	Темно-серый сильно-глянцевый пластик  (PW)
lightgreyhighglossplastic,	Светло-серый сильно-глянцевый пластик  (PW)
creamhighglossplastic,		Бежевый сильно-глянцевый пластик  (PW)
whitehighglossplastic,		Белый сильно-глянцевый пластик  (PW)
translucentplastic,			Полупрозрачный пластик (PW)
frostedplastic,				Матовый пластик (PW)
polypropyleneplastic,		Полипропиленовый пластик (PW)
polycarbonateplastic,		Поликарбонатный пластик (PW)
largesparkerosionplasticblue,	Крупный электроискровый синий пластик (PW)
sparkerosionplasticblue,	Электроискровый синий пластик (PW)
blueknurledplastic,			Синий пластик с насечками (PW)
bluedimpledplastic,			Синий пластик к лунками (PW)
bluetreadplateplastic,		Синий пластик с накаткой (PW)
carbonfiberaramidfabric,	Углеродное волокно Аramid (PW)
carbonfiberdesignfabric,	Ткань из углеродного волокна (PW)
carbonfiberdyneemaplain,	Простое углеродное волокно Dyneema (PW)
carbonfiberinlayunidirectional,	Углеродное волокно с однонаправленной инкрустацией (PW)
carbonfiberepoxy,			Эпоксид углеродного волокна (PW)
circularmeshplastic,		Круглый сетчатый пластик (PW)
diamondmeshplastic,			Ромбовидный сетчатый пластик (PW)
polishedsteel,				Шлифованная сталь (PW)
brushedsteel,				Сталь с насечками (PW)
satinfinishstainlesssteel,	Сатинированная нержавеющая сталь (PW)
mattesteel,					Матовая сталь (PW)
sandblastedsteel,			Сталь пескоструйной обработки (PW)
burnishedsteel,				Полированная сталь (PW)
